epoch 001 | loss=1.0934 cls=0.9831 score=0.0041 xy=0.0895 st=0.0332 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 002 | loss=1.0914 cls=0.9823 score=0.0038 xy=0.0864 st=0.0377 | roc=0.486 pr=0.287 rec@10=0.020 prec@10=0.200 topkAvg=0.380 sp=-0.004 enr=0.688 | comp=0.1965 [composite=0.1965]
epoch 003 | loss=1.0702 cls=0.9830 score=0.0038 xy=0.0669 st=0.0331 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 004 | loss=1.0685 cls=0.9834 score=0.0038 xy=0.0646 st=0.0334 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 005 | loss=1.0700 cls=0.9833 score=0.0038 xy=0.0672 st=0.0314 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 006 | loss=1.0661 cls=0.9827 score=0.0038 xy=0.0638 st=0.0318 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 007 | loss=1.0680 cls=0.9826 score=0.0038 xy=0.0645 st=0.0343 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 008 | loss=1.0726 cls=0.9827 score=0.0038 xy=0.0674 st=0.0373 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 009 | loss=1.0695 cls=0.9826 score=0.0039 xy=0.0669 st=0.0322 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 010 | loss=1.0696 cls=0.9826 score=0.0038 xy=0.0664 st=0.0338 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 011 | loss=1.0689 cls=0.9826 score=0.0038 xy=0.0656 st=0.0336 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 012 | loss=1.0697 cls=0.9827 score=0.0039 xy=0.0656 st=0.0351 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 013 | loss=1.0715 cls=0.9825 score=0.0037 xy=0.0681 st=0.0342 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 014 | loss=1.0696 cls=0.9823 score=0.0038 xy=0.0662 st=0.0344 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 015 | loss=1.0662 cls=0.9825 score=0.0038 xy=0.0634 st=0.0332 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 016 | loss=1.0651 cls=0.9826 score=0.0038 xy=0.0629 st=0.0316 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.073 sp=-0.002 enr=2.408 | comp=0.1567 [composite=0.1567]
epoch 017 | loss=1.0677 cls=0.9823 score=0.0038 xy=0.0642 st=0.0348 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 018 | loss=1.0645 cls=0.9824 score=0.0039 xy=0.0622 st=0.0323 | roc=0.524 pr=0.353 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2804 [composite=0.2804]
epoch 019 | loss=1.0731 cls=0.9823 score=0.0038 xy=0.0690 st=0.0362 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 020 | loss=1.0663 cls=0.9826 score=0.0037 xy=0.0640 st=0.0321 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 021 | loss=1.0691 cls=0.9824 score=0.0038 xy=0.0657 st=0.0344 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.369 sp=0.091 enr=2.408 | comp=0.2253 [composite=0.2253]
epoch 022 | loss=1.0704 cls=0.9826 score=0.0038 xy=0.0675 st=0.0331 | roc=0.542 pr=0.289 rec@10=0.060 prec@10=0.600 topkAvg=0.546 sp=0.091 enr=2.064 | comp=0.2520 [composite=0.2520]
epoch 023 | loss=1.0684 cls=0.9824 score=0.0038 xy=0.0657 st=0.0330 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 024 | loss=1.0715 cls=0.9824 score=0.0039 xy=0.0675 st=0.0355 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 025 | loss=1.0679 cls=0.9825 score=0.0038 xy=0.0649 st=0.0334 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.369 sp=0.091 enr=2.408 | comp=0.2253 [composite=0.2253]
epoch 026 | loss=1.0666 cls=0.9825 score=0.0040 xy=0.0631 st=0.0340 | roc=0.503 pr=0.311 rec@10=0.030 prec@10=0.300 topkAvg=0.546 sp=0.091 enr=1.032 | comp=0.2518 [composite=0.2518]
epoch 027 | loss=1.0662 cls=0.9825 score=0.0038 xy=0.0635 st=0.0329 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 028 | loss=1.0706 cls=0.9825 score=0.0039 xy=0.0668 st=0.0348 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 029 | loss=1.0684 cls=0.9822 score=0.0038 xy=0.0656 st=0.0337 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 030 | loss=1.0650 cls=0.9824 score=0.0037 xy=0.0617 st=0.0345 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.192 sp=0.021 enr=2.408 | comp=0.1828 [composite=0.1828]
epoch 031 | loss=1.0667 cls=0.9822 score=0.0038 xy=0.0647 st=0.0321 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 032 | loss=1.0606 cls=0.9821 score=0.0036 xy=0.0596 st=0.0306 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 033 | loss=1.0659 cls=0.9822 score=0.0038 xy=0.0640 st=0.0318 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.411 sp=0.053 enr=2.408 | comp=0.2297 [composite=0.2297]
epoch 034 | loss=1.0639 cls=0.9823 score=0.0038 xy=0.0621 st=0.0314 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 035 | loss=1.0637 cls=0.9823 score=0.0038 xy=0.0616 st=0.0319 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 036 | loss=1.0659 cls=0.9825 score=0.0039 xy=0.0635 st=0.0319 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 037 | loss=1.0664 cls=0.9823 score=0.0038 xy=0.0631 st=0.0342 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.131 sp=0.050 enr=2.408 | comp=0.1734 [composite=0.1734]
epoch 038 | loss=1.0650 cls=0.9826 score=0.0038 xy=0.0619 st=0.0333 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 039 | loss=1.0701 cls=0.9824 score=0.0038 xy=0.0669 st=0.0340 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 040 | loss=1.0681 cls=0.9822 score=0.0038 xy=0.0649 st=0.0344 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 041 | loss=1.0659 cls=0.9823 score=0.0038 xy=0.0638 st=0.0319 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 042 | loss=1.0686 cls=0.9822 score=0.0038 xy=0.0651 st=0.0351 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.451 sp=0.091 enr=2.408 | comp=0.2415 [composite=0.2415]
epoch 043 | loss=1.0667 cls=0.9822 score=0.0037 xy=0.0639 st=0.0337 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 044 | loss=1.0673 cls=0.9823 score=0.0038 xy=0.0648 st=0.0328 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 045 | loss=1.0674 cls=0.9824 score=0.0037 xy=0.0643 st=0.0340 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
epoch 046 | loss=1.0638 cls=0.9823 score=0.0038 xy=0.0610 st=0.0336 | roc=0.568 pr=0.303 rec@10=0.070 prec@10=0.700 topkAvg=0.546 sp=0.091 enr=2.408 | comp=0.2605 [composite=0.2605]
