model,split_mode,feature_version,n_train,n_val,train_feasible_rate,best_epoch,roc_auc,pr_auc,recall_at_k,precision_at_k,topk_avg_true_score,topk_avg_score_norm,enrichment,score_spearman,composite,gap_roc_auc,gap_pr_auc,gap_recall_at_k,gap_composite,checkpoint_path
mlp,random,v2,465,82,0.1742,97,0.7685,0.5109,0.1071,0.3,0.4228,0.8093,0.8786,0.3213,0.4305,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer\mlp_random\mlp_best.pt
mlp,stratified,v2,465,82,0.2,30,0.6761,0.2633,0.0,0.0,0.3489,0.7952,0.0,0.2588,0.2902,0.0924,0.2476,0.1071,0.1403,checkpoints/layout_models_transfer\mlp_stratified\mlp_best.pt
mlp,seed_holdout,v2,465,82,0.2,30,0.6761,0.2633,0.0,0.0,0.3489,0.7952,0.0,0.2588,0.2902,0.0924,0.2476,0.1071,0.1403,checkpoints/layout_models_transfer\mlp_seed_holdout\mlp_best.pt
mlp,region_holdout,v2,484,63,0.1715,1,0.4626,0.4796,0.2308,0.6,0.2998,0.564,1.4538,0.5952,0.4334,0.3059,0.0313,-0.1237,-0.0029,checkpoints/layout_models_transfer\mlp_region_holdout\mlp_best.pt
deepsets,random,v2,465,82,0.1742,38,0.7183,0.566,0.2143,0.6,0.3714,0.7109,1.7571,0.2375,0.4566,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer\deepsets_random\deepsets_best.pt
deepsets,stratified,v2,465,82,0.2,9,0.6411,0.2578,0.125,0.2,0.1334,0.3041,1.025,0.3029,0.2317,0.0772,0.3082,0.0893,0.2249,checkpoints/layout_models_transfer\deepsets_stratified\deepsets_best.pt
deepsets,seed_holdout,v2,465,82,0.2,9,0.6411,0.2578,0.125,0.2,0.1334,0.3041,1.025,0.3029,0.2317,0.0772,0.3082,0.0893,0.2249,checkpoints/layout_models_transfer\deepsets_seed_holdout\deepsets_best.pt
deepsets,region_holdout,v2,484,63,0.1715,11,0.5696,0.5025,0.2308,0.6,0.2922,0.5498,1.4538,0.4947,0.4297,0.1487,0.0635,-0.0165,0.0269,checkpoints/layout_models_transfer\deepsets_region_holdout\deepsets_best.pt
gcn,random,v2,465,82,0.1742,2,0.707,0.4545,0.1429,0.4,0.198,0.379,1.1714,0.1171,0.3122,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer\gcn_random\gcn_best.pt
gcn,stratified,v2,465,82,0.2,28,0.66,0.3687,0.1875,0.3,0.0996,0.2269,1.5375,0.1206,0.2612,0.047,0.0858,-0.0446,0.051,checkpoints/layout_models_transfer\gcn_stratified\gcn_best.pt
gcn,seed_holdout,v2,465,82,0.2,28,0.66,0.3687,0.1875,0.3,0.0996,0.2269,1.5375,0.1206,0.2612,0.047,0.0858,-0.0446,0.051,checkpoints/layout_models_transfer\gcn_seed_holdout\gcn_best.pt
gcn,region_holdout,v2,484,63,0.1715,39,0.5437,0.5569,0.2308,0.6,0.403,0.7582,1.4538,0.4612,0.4898,0.1633,-0.1024,-0.0879,-0.1776,checkpoints/layout_models_transfer\gcn_region_holdout\gcn_best.pt
gat,random,v2,465,82,0.1742,71,0.7321,0.6256,0.25,0.7,0.3134,0.5999,2.05,0.3651,0.4818,0.0,0.0,0.0,0.0,checkpoints/layout_models_transfer\gat_random\gat_best.pt
gat,stratified,v2,465,82,0.2,52,0.66,0.416,0.3125,0.5,0.1517,0.3459,2.5625,0.0853,0.3379,0.0721,0.2096,-0.0625,0.1439,checkpoints/layout_models_transfer\gat_stratified\gat_best.pt
gat,seed_holdout,v2,465,82,0.2,52,0.66,0.416,0.3125,0.5,0.1517,0.3459,2.5625,0.0853,0.3379,0.0721,0.2096,-0.0625,0.1439,checkpoints/layout_models_transfer\gat_seed_holdout\gat_best.pt
gat,region_holdout,v2,484,63,0.1715,9,0.5686,0.5,0.2308,0.6,0.2922,0.5498,1.4538,0.5036,0.4296,0.1635,0.1256,0.0192,0.0522,checkpoints/layout_models_transfer\gat_region_holdout\gat_best.pt
