sample_id,val_index,true_score,seqrel_pred_score,rank_error
1783498638649969100,357,0.2814,0.4339,83
1783597752245322225,1614,0.528,0.402,81
1783528479333219300,756,0.5078,0.3952,74
1783549697720036400,1132,0.5521,0.4192,69
1783616079585463726,1989,0.5175,0.417,69
1783643806459350343,2183,0.5289,0.4185,68
1783488546605817400,165,0.542,0.4201,66
1783575553420523566,1344,0.3217,0.4335,66
1783595886064753533,1570,0.5944,0.4223,65
1783616376047202633,1994,0.3767,0.4356,64
1783606425866092679,1793,0.4876,0.3942,63
1783624345401085303,2158,0.4748,0.3913,62
1783498528084248000,354,0.3664,0.4339,61
1783527134027575400,725,0.3478,0.4332,58
1783612467683770519,1915,0.2971,0.4327,57
1783524443595369600,667,0.3774,0.4345,56
1783499151069686300,364,0.306,0.4328,56
1783596132644756816,1578,0.4004,0.4349,53
1783583482833351563,1511,0.3687,0.4336,52
1783536984208506100,915,0.2894,0.4321,51
