model,split_mode,training_seed,feature_version,n_train,n_val,best_epoch,wall_time_s,n_params,roc_auc,pr_auc,precision_at_k,recall_at_k,enrichment,score_spearman,score_mae,score_rmse,composite,checkpoint_path
mlp,stratified,1,v2,1949,344,82,230.57,270594,0.7498,0.5163,0.6,0.06,2.064,0.1755,0.0688,0.0832,0.3771,checkpoints\layout_models_official\mlp\stratified\seed1\mlp_best.pt
mlp,stratified,2,v2,1949,344,31,58.95,270594,0.7216,0.4648,0.5,0.05,1.72,0.1425,0.0649,0.0775,0.3467,checkpoints\layout_models_official\mlp\stratified\seed2\mlp_best.pt
mlp,seed_holdout,1,v2,2049,244,53,107.91,270594,0.8287,0.7469,0.9,0.09,2.196,0.1174,0.0651,0.0766,0.4909,checkpoints\layout_models_official\mlp\seed_holdout\seed1\mlp_best.pt
mlp,seed_holdout,2,v2,2049,244,2,64.69,270594,0.6917,0.563,0.7,0.07,1.708,0.11,0.0668,0.079,0.4239,checkpoints\layout_models_official\mlp\seed_holdout\seed2\mlp_best.pt
mlp,region_holdout,1,v2,2221,72,55,152.89,270594,0.5874,0.4683,0.5,0.3571,2.5714,0.5604,0.0643,0.0724,0.472,checkpoints\layout_models_official\mlp\region_holdout\seed1\mlp_best.pt
mlp,region_holdout,2,v2,1360,933,2,14.46,270594,0.6003,0.4789,0.8,0.023,2.1448,0.0405,0.0745,0.088,0.3314,checkpoints\layout_models_official\mlp\region_holdout\seed2\mlp_best.pt
deepsets,stratified,1,v2,1949,344,25,33.66,70146,0.7709,0.5639,0.8,0.08,2.752,0.2297,0.0662,0.0801,0.3923,checkpoints\layout_models_official\deepsets\stratified\seed1\deepsets_best.pt
deepsets,stratified,2,v2,1949,344,35,40.95,70146,0.7818,0.532,0.7,0.07,2.408,0.1525,0.0667,0.0769,0.3677,checkpoints\layout_models_official\deepsets\stratified\seed2\deepsets_best.pt
deepsets,seed_holdout,1,v2,2049,244,27,38.5,70146,0.8066,0.743,0.9,0.09,2.196,0.3515,0.0609,0.0724,0.4714,checkpoints\layout_models_official\deepsets\seed_holdout\seed1\deepsets_best.pt
deepsets,seed_holdout,2,v2,2049,244,26,36.02,70146,0.7937,0.7166,0.8,0.08,1.952,0.4235,0.0615,0.0726,0.4967,checkpoints\layout_models_official\deepsets\seed_holdout\seed2\deepsets_best.pt
deepsets,region_holdout,1,v2,2221,72,40,52.39,70146,0.6145,0.5061,0.6,0.4286,3.0857,0.4901,0.077,0.0883,0.4963,checkpoints\layout_models_official\deepsets\region_holdout\seed1\deepsets_best.pt
deepsets,region_holdout,2,v2,1360,933,3,13.47,70146,0.6616,0.5403,0.9,0.0259,2.4129,-0.0005,0.072,0.0843,0.3372,checkpoints\layout_models_official\deepsets\region_holdout\seed2\deepsets_best.pt
seqrel,stratified,1,v2,1949,344,9,60.06,66056,0.7309,0.526,0.8,0.08,2.752,0.1073,0.0722,0.0862,0.3417,checkpoints\layout_models_official\seqrel\stratified\seed1\seqrel_best.pt
seqrel,stratified,2,v2,1949,344,1,44.8,66056,0.7342,0.4547,0.4,0.04,1.376,0.1659,0.0696,0.0816,0.2988,checkpoints\layout_models_official\seqrel\stratified\seed2\seqrel_best.pt
seqrel,seed_holdout,1,v2,2049,244,26,111.29,66056,0.7649,0.6978,0.9,0.09,2.196,-0.0933,0.0659,0.0776,0.4013,checkpoints\layout_models_official\seqrel\seed_holdout\seed1\seqrel_best.pt
seqrel,seed_holdout,2,v2,2049,244,18,95.23,66056,0.7537,0.6898,0.9,0.09,2.196,0.0635,0.0635,0.0753,0.4691,checkpoints\layout_models_official\seqrel\seed_holdout\seed2\seqrel_best.pt
seqrel,region_holdout,1,v2,2221,72,29,146.7,66056,0.5369,0.215,0.2,0.1429,1.0286,0.5473,0.0916,0.1025,0.2685,checkpoints\layout_models_official\seqrel\region_holdout\seed1\seqrel_best.pt
seqrel,region_holdout,2,v2,1360,933,17,64.33,66056,0.6602,0.5419,0.8,0.023,2.1448,-0.0131,0.076,0.0914,0.3554,checkpoints\layout_models_official\seqrel\region_holdout\seed2\seqrel_best.pt
